,Actor,Shows
99,Choi In Kyung,"['God of the Workplace', 'Great Inheritance']"
100,Choi Ja Hye,"['The Last Empress', 'Sweet Enemy', 'The Sound of My Wife Breathing', 'It’s Okay, Daddy’s Girl', 'King of Baking, Kim Tak Goo', 'Powerful Opponents', 'Lobbyist', 'Fugitive Lee Doo Young', 'Spring Waltz', 'Be Strong Geum Soon', 'Dae Jang Geum']"
101,Choi Ji Hun,"['Circle', 'Can We Get Married ?']"
102,Choi Ji Na,"['100 Days My Prince', 'Rich Man', 'Ruler: Master of the Mask', 'Laurel Tree Tailors', 'Entertainer', 'Let’s Fight Ghost', 'The Merchant: Gaekju 2015', 'TV Novel – Single Minded Dandelion', 'Joseon Gunman', 'Endless Love', 'The Heirs', 'Goddess of Fire', 'Can’t Live without You', 'Queen Insoo', 'King Geunchogo', 'Temptation of an Angel', 'The Sons of Sol Pharmacy House', 'A Man’s Story', 'I Am Happy', 'Fly High', 'Blissful Woman', 'My Rosy Life']"
103,Choi Ji Won,"['Bride of the Water God', 'Good Person', 'Master: God of Noodles', 'The Great Wives', 'Mask', 'Angel Eyes', 'Everybody, Kimchi!', 'Hold My Hand', 'Can’t Take It Anymore', 'Monstar', 'Family', 'It Was Love', 'I Do, I Do', 'My Husband Got a Family', 'Flower Boy Ramyun Shop']"
104,Choi Ji Woo,"['The Most Beautiful Goodbye in the World', 'Seven First Kisses', 'Woman with a Suitcase', 'Second Time Twenty Years Old', 'Temptation', 'The Suspicious Housekeeper', 'Can’t Live With Losing', 'Star’s Lover', 'Air City', '101st Proposal', 'Stairway to Heaven', 'Winter Sonata']"
105,Choi Ji Yun,"['I Order For You', 'I Need a Fairy', 'Chun Ja’s Happy Events']"
106,Choi Jin Shil,"['Jo Sung Mi', 'Choi Jin Youn', 'Ahn Jae Hwa', 'The Last Scandal of My Life', 'Bad Woman, Good Woman', 'My Rosy Life', 'War of the Roses', 'Since We Met', 'Ahn Jae Hwa', 'Choi Jin Youn', 'Jo Sung Mi']"
107,Choi Joo Hee,"['Cunning Single Lady', 'Beloved']"
108,Choi Joo Ri,"['TV Novel – The Stars Are Shining', 'Pinocchio', 'Seonam Girls High School Investigators', 'I Summon You, Gold!']"
109,Choi Jung Hwa,"['Yoo Na’s Street', 'A New Leaf', 'Everybody, Kimchi!', 'Big Man', 'Witch’s Romance', 'Noblewoman', 'Cunning Single Lady', 'Hold My Hand', 'Secret Love', 'Her Legend', 'The Queen of Office', 'An Angel’s Choice', 'High Kick! 3']"
110,Choi Jung Won,"['Fluttering Warning', 'Borg Mom', 'You Are Too Much', 'The Shining Eun Soo', 'The Time We Were Not In Love', 'The Family Is Coming', 'My Secret Hotel', 'I Need a Fairy', 'Invincible Parachute Agent', 'Beating Heart']"
111,Choi Jung Yoon,"['Cheongdamdong Scandal', 'Could We Love ?', 'Cheer Up, Mr. Kim', 'An Angel’s Choice', 'Ojakgyo Brothers(KBS2, 2011', 'Manny', 'Smile, You', 'Last Scandal', 'That Woman is Scary', 'Bad Couple', 'Thank You', 'Love Can’t Wait', 'Attic Cat', '2014 SBS Drama Award', '2011 KBS Drama Award']"
112,Choi Kang Hee,"['Mystery Queen 2', 'Han Yeo Reum’s Memory', 'Mystery Queen', 'Glamorous Temptation', 'Heart to Heart', '7th Grade Civil Servant', 'Protect the Boss', 'My Sweet City', 'Thank You', 'Beating Heart', 'Our Attitude to Prepare Parting', 'Sweet Buns', 'Land of Wine', '2011 SBS Drama Award', '2011 SBS Drama Award', '2011 SBS Drama Award', '2011 SBS Drama Award']"
113,Choi Min Geum,"['Let’s Fight Ghost', 'Happy Home']"
114,Choi Myung Bin,"['Trap', '100 Days My Prince', 'Prison Playbook', 'Black', 'TV Novel – Dal Soon’s Spring', 'Suspicious Partner', 'Chicago Typewriter', 'Tunnel']"
115,Choi Myung Gil,"['Mother of Mine', 'Clean With Passion For Now', 'Mysterious Personal Shopper', 'Entourage', 'The Good Wife', 'You Are a Gift', 'Sweet Home, Sweet Honey', 'Blue Bird’s House', 'Punch', 'Marry Him If You Dare', 'I Summon You, Gold!', 'Glory Jane @ Man of Honor', 'Miss Ripley', 'Stormy Lovers', 'King Geunchogo', 'Invincible Lee Pyung Kang', 'Hateful But Once Again', 'Dae Wang Sejong', 'By My Side', 'South of the Sun', '2015 SBS Drama Award']"
